Nominee,Nomination Date,Confirmation Date,Court,Incumbent,Vacancy Reason,Vacancy Date
"Arias-Marxuach,Raul M.",01/23/2019,05/02/2019,01 - PR,"Fuste,Jose Antonio",Retired,06/01/2016
"Bianco,Joseph F.",01/23/2019,05/08/2019,02 - CCA,"Raggi,Reena",Senior,08/31/2018
"Park,Michael H.",01/23/2019,05/09/2019,02 - CCA,"Lynch,Gerard E.",Senior,09/05/2016
"Matey,Paul B.",01/23/2019,03/12/2019,03 - CCA,"Fuentes,Julio M.",Senior,07/18/2016
"Wolson,Joshua",01/23/2019,05/02/2019,03 - PAE,"Gardner,James Knoll",Senior,04/03/2017
"Rushing,Allison Jones",01/23/2019,03/05/2019,04 - CCA,"Duncan,Allyson Kay",Senior,03/05/2019
"Bell,Kenneth D.",01/23/2019,05/22/2019,04 - NCW,"Voorhees,Richard L.",Senior,08/31/2017
"Alston Jr.,Rossie David",01/23/2019,06/10/2019,04 - VAE,"Lee,Gerald Bruce",Retired,09/30/2017
"Guidry,Greg Gerard",01/17/2019,06/19/2019,05 - LAE,"Engelhardt,Kurt D.",Elevated,05/09/2018
"Vitter,Wendy",01/23/2019,05/16/2019,05 - LAE,"Berrigan,Helen G.",Senior,08/23/2016
"Cain Jr.,James David",01/23/2019,06/19/2019,05 - LAW,"Minaldi,Patricia H.",Senior,07/31/2017
"Barker,J. Campbell",01/23/2019,05/01/2019,05 - TXE,"Davis,Leonard E.",Retired,05/15/2015
"Truncale,Michael J.",01/23/2019,05/14/2019,05 - TXE,"Clark,Ron",Senior,02/28/2018
"Kacsmaryk,Matthew J.",01/23/2019,06/19/2019,05 - TXN,"Robinson,Mary Lou",Senior,02/03/2016
"Morales,David Steven",01/23/2019,04/10/2019,05 - TXS,"Jack,Janis Graham",Senior,06/01/2011
"Murphy,Eric E.",01/23/2019,03/07/2019,06 - CCA,"Batchelder,Alice M.",Senior,03/07/2019
"Readler,Chad A.",01/23/2019,03/06/2019,06 - CCA,"Cook,Deborah L.",Senior,03/06/2019
"Barker,Pamela A.",01/23/2019,06/12/2019,06 - OHN,"Nugent,Donald C.",Senior,01/01/2017
"Morrison,Sarah Daggett",01/23/2019,06/11/2019,06 - OHS,"Frost,Gregory L.",Retired,05/02/2016
"Brady,Holly A.",01/23/2019,04/10/2019,07 - INN,"Van Bokkelen,Joseph S",Senior,09/29/2017
"Clark Sr.,Stephen R.",01/23/2019,05/22/2019,08 - MOE,"Jackson,Carol E.",Retired,08/31/2017
"Bade,Bridget S.",01/23/2019,03/26/2019,09 - CCA,"Silverman,Barry G.",Senior,10/11/2016
"Collins,Daniel Paul",02/06/2019,05/21/2019,09 - CCA,"Pregerson,Harry",Senior,12/11/2015
"Lee,Kenneth Kiyul",02/06/2019,05/15/2019,09 - CCA,"Reinhardt,Stephen",Deceased,03/29/2018
"Miller,Eric D.",01/23/2019,02/26/2019,09 - CCA,"Tallman,Richard C.",Senior,03/03/2018
"Domenico,Daniel Desmond",01/23/2019,04/09/2019,10 - CO,"Blackburn,Robert E.",Senior,04/12/2016
"Wyrick,Patrick R.",01/23/2019,04/09/2019,10 - OKW,"Russell,David L.",Senior,07/07/2013
"Nielson Jr.,Howard C.",01/23/2019,05/22/2019,10 - UT,"Stewart,Brian T.",Senior,09/01/2014
"Brasher,Andrew Lynn",01/23/2019,05/01/2019,11 - ALM,"Fuller,Mark E.",Resigned,08/01/2015
"Maze,Corey Landon",01/23/2019,06/12/2019,11 - ALN,"Hopkins,Virginia Emerson",Senior,06/22/2018
"Barber,Thomas P.",01/23/2019,06/12/2019,11 - FLM,"Whittemore,James D.",Senior,08/29/2017
"Winsor,Allen Cothrel",01/23/2019,06/19/2019,11 - FLN,"Hinkle,Robert L.",Senior,11/07/2016
"Altman,Roy Kalman",01/23/2019,04/04/2019,11 - FLS,"Lenard,Joan A.",Senior,07/01/2017
"Ruiz II,Rodolfo Armando",01/23/2019,05/02/2019,11 - FLS,"Zloch,William J.",Senior,01/31/2017
"Smith,Rodney",01/23/2019,06/12/2019,11 - FLS,"Rosenbaum,Robin S.",Elevated,05/12/2014
"Boulee,Jean-Paul",01/23/2019,06/12/2019,11 - GAN,"Duffey Jr.,William S.",Retired,07/01/2018
"Hertling,Richard A.",01/23/2019,06/10/2019,CL,"Miller,George W.",Retired,08/06/2013
"Holte,Ryan T.",01/23/2019,06/10/2019,CL,"Firestone,Nancy B.",Senior,10/21/2013
"Rao,Neomi J.",01/23/2019,03/13/2019,DC - CCA,"Kavanaugh,Brett M.",Elevated,10/06/2018
"Nichols,Carl J.",01/23/2019,05/22/2019,DC - DC,"Roberts,Richard W.",Senior,03/16/2016
